FIELD,ID,RA_x,DEC_x,Z_50,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,synth_Av,ir_A_V,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_beta_obs,ir_beta_obs_err,DL,restUjohnson,restVjohnson
GN4,20766,189.23994543,62.243866149,0.2310879780094346,20766,0.380157,1.387,0.1,0.708,1.1038,0.0672819,0,1.13335,0.0378607,0.1,1.03728,3.35009,-16.792582,-17.739496,0,0.2662,0.2662,1,0.2488,8.62,-99.0,-99.0,0.11366,0.27,0.380157,0.0540993,-0.201113,-0.6155,-0.6155,0.0,1166.6883118586384,,
GN2,21693,189.2325241499276,62.24847399031422,0.2819808192873829,21693,0.0238438,0.02827,0.0,0.316,1.7696,0.995716,0,0.853224,0.297149,0.2,0.37442,2.41811,-14.612048,-16.37718,0,0.30604,-1.0,2,0.2798,8.75,0.12598,0.059522,0.06646,0.19,0.0238438,0.0017389,-0.0831503,-1.707,-1.707,0.0,1464.121519596729,,
GN4,21693,189.23252415,62.24847398999999,0.2867762710963165,21693,0.0238438,0.02827,0.0,0.316,1.7696,0.995716,0,0.853224,0.297149,0.2,0.37442,2.41811,-14.612048,-16.37718,0,0.30604,-1.0,2,0.2798,8.75,0.12598,0.059522,0.06646,0.19,0.0238438,0.0017389,-0.0831503,-1.707,-1.707,0.0,1492.820182294956,,
GN2,22443,189.2412273699808,62.25200297902295,0.08200928573646311,22443,0.0260216,0.03102,0.0,0.302,0.7461,0.316504,0,0.328494,0.0414448,0.4,0.83476,1.4572,-14.230776,-14.878007,0,0.1164,0.1164,1,0.0923,7.07,0.019815,0.0051866,0.014628,0.12,0.0260216,0.00259747,-0.0276628,-1.7346,-1.7346,0.0,376.8715199981058,,
GN2,24005,189.2070535600233,62.25952191200454,0.2181832470425671,24005,0.135649,0.2946,0.2,0.588,0.8822,0.248762,0,0.576792,0.0553167,0.1,0.65646,2.50087,-16.132766,-17.229226,0,0.2542,0.2542,1,0.2354,8.36,-99.0,-99.0,0.056977,0.25,0.135649,0.0146142,-0.165181,-1.0254,-1.0254,0.0,1093.3999541949493,,
GN2,27864,189.205116090814,62.27928920165296,0.1540994723911999,27864,0.0168145,0.0535,0.0,0.668,0.8767,0.441808,0,0.2952,0.0502884,0.1,0.5193,1.36931,-14.249076,-15.239887,0,0.143,0.143,1,0.115,7.5,0.01554,0.0010028,0.014537,0.14,0.0168145,0.00314104,-0.0397656,-0.7508,-0.7508,0.0,742.883329120798,,
GN3,26767,189.26841052,62.273275856,0.2833850336170852,26767,0.0461198,0.04622,0.2,0.0,1.896,0.161077,0,0.161532,0.0053729,0.0,0.24099,0.79667,-15.632825,-16.526582,0,0.28467,-1.0,2,0.2954,8.09,0.096252,0.051188,0.045063,0.31,0.0461198,0.000375025,-0.287809,-2.2202,-2.2202,0.0,1472.5133781084758,,
GN4,26767,189.26841052,62.27327585599999,0.2140607069098986,26767,0.0461198,0.04622,0.2,0.0,1.896,0.161077,0,0.161532,0.0053729,0.0,0.24099,0.79667,-15.632825,-16.526582,0,0.28467,-1.0,2,0.2954,8.09,0.096252,0.051188,0.045063,0.31,0.0461198,0.000375025,-0.287809,-2.2202,-2.2202,0.0,1070.1738744290585,,
GN3,26823,189.245094,62.27718569200001,0.2980294621327578,26823,3.84979,3.84979,0.7,0.7,0.9073,0.488596,0,1.09206,0.315464,0.9,8.21916,46.36899,-19.382396,-20.757611,0,0.299,0.299,1,0.297,10.12,3.0651,2.0909,0.97421,0.3,1.88578,0.121644,3.1696,-0.8319,-0.8319,0.0,1560.6083687606692,,
GN4,26823,189.245094,62.27718569200001,0.2980020343062498,26823,3.84979,3.84979,0.7,0.7,0.9073,0.488596,0,1.09206,0.315464,0.9,8.21916,46.36899,-19.382396,-20.757611,0,0.299,0.299,1,0.297,10.12,3.0651,2.0909,0.97421,0.3,1.88578,0.121644,3.1696,-0.8319,-0.8319,0.0,1560.4423959711612,,
