FIELD,ID,RA_x,DEC_x,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,synth_Av,ir_A_V,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_beta_obs,ir_beta_obs_err,DL,PAB_L,PAB_L_ERR,SIGMA_1,PAB_SFR,PAB_SFR_ERR,UV_SFR_ERR,PAB_SFR_EX2,PAB_SFR_EX2_ladder,PAB_SFR_EX2_ERR,PAB_SFR_LL,PAB_SFR_EX2_LL,PAB_SFR_LL_1SIGMA,PAB_SFR_EX_LL_1SIGMA
GN3,34077,189.21093005,62.317701301,0.2481206951851821,0.013335969497628386,4.11692172025264,0.936844812425672,16000.907312274034,34077,0.270007,1.096,0.0,0.735,1.2042,0.185669,0,0.436422,0.0304006,0.1,0.97364,2.93547,-16.531367,-17.43304,0,0.24795,-1.0,2,0.2454,8.33,0.10302,0.01229,0.090729,0.25,0.270007,0.0387612,-0.165181,-0.5276,-0.5276,0.0,1264.7576735562354,7.879155735413663e+39,1.7929770538758977e+39,7.270825005684036,-0.12352031539045782,0.09876084031245333,0.06230342472602563,0.44510466110994074,0.44510466110994074,0.11677080247995836,-1.2383085399848142,-0.6696835634844156,-1.426135004900928,-0.8575100284005295
GN3,35455,189.33207441,62.32866916999999,0.2059586465931771,0.15367238943375552,0.8165377454689601,0.5576697608683531,15460.38984932453,35455,0.301975,0.7115,0.0,0.604,0.9241,0.521552,0,0.217248,0.0349809,0.1,1.0105,1.82397,-16.513325,-16.889318,0,0.2469,0.2469,1,0.2474,7.69,0.16259,0.031729,0.13086,0.25,0.301975,0.0407923,-0.165181,-0.9712,-0.9712,0.0,1024.7933559306402,1.0259856739213658e+39,7.007161501168278e+38,7.020517283848955,-1.0088587033375944,0.2964084361805729,0.0586269002400861,-0.48882969327664405,-0.48882969327664405,0.30215074792357166,-1.4210505839315175,-0.9010215738705671,-1.6088770488476314,-1.088848038786681
GN4,24611,189.3590578192805,62.26414012808544,0.2623648743074986,0.01525848232575925,3.99465281974288,1.63838167271188,16183.517688622132,24611,0.757398,1.119,0.0,0.449,2.5339,0.374281,0,1.32708,0.122551,0.2,2.28516,6.66924,-17.571467,-18.432024,0,0.2662,0.2662,1,0.2943,8.91,0.21534,0.0075288,0.20781,0.27,0.757398,0.0985332,-0.201113,-1.4197,-1.4197,0.0,1347.919727076752,8.683594363837986e+39,3.5615214890920286e+39,7.390333953638494,-0.08130047191284717,0.17800236417109305,0.05646094761274786,0.03937537410735012,0.03937537410735012,0.18674228298868975,-1.1829951273847996,-1.0623192813646023,-1.3708215923009135,-1.2501457462807162
GN5,33249,189.2077221527124,62.31109623777222,0.2343339459532293,0.12793665794263642,3.1227880988894903,0.794631487723119,15824.161187120399,33249,0.0776152,0.08495,0.0,0.192,1.3753,0.742879,0,0.152076,0.0278929,0.5,0.70336,1.50404,-15.897715,-16.527162,0,0.22691,-1.0,2,0.2218,7.67,0.069187,0.0019787,0.067208,0.23,0.0776152,0.00713122,-0.133758,-1.9463,-1.9463,0.0,1185.2610110586654,5.248835256905842e+39,1.3356300962245499e+39,7.052139170515979,-0.29993705804525916,0.1104365889553872,0.03987555891114112,0.8101161610355652,0.8101161610355652,0.11741507730516143,-1.294695188878542,-0.18464196979771774,-1.482521653794656,-0.3724684347138316
GS2,45518,53.154086915,-27.69792974,0.2818814162464867,0.005264621278580262,4.87117851404031,1.05949125423011,16433.71975627996,45518,0.633564,1.334,,0.572,1.1384,0.0268107,0,0.395424,0.00382349,0.0,1.84694,4.55811,-17.44108,-18.151095,0,0.28146,-1.0,2,0.2825,8.68,0.3266,0.02664,0.29996,0.28,0.633564,0.0940384,-0.220867,-1.0753,-1.0753,0.0,1463.5278369957118,1.2483272453394562e+40,2.7151371994316808e+39,7.115943023709629,0.07632844930092375,0.09439588448883986,0.06441758938323515,0.2745379572433663,0.2745379572433663,0.11428127068937187,-1.1115212114056092,-0.9133117034631666,-1.299347676321723,-1.1011381683792805
GS2,49771,53.140583777,-27.67298104899999,0.2749025730921826,0.049702848588614755,1.94538182949105,0.626648079476518,16344.25098704178,49771,0.00139683,4.641,,1.274,1.1761,0.0999575,0,0.177024,0.00421001,0.0,0.179645,0.709814,-12.344618,-13.889921,0,0.24545,-1.0,2,0.2113,7.97,0.063324,0.046384,0.016939,0.11,0.00139683,0.00158694,-0.0225978,4.4179,7.6291,0.0,1421.9693247735147,4.7062797596115436e+39,1.5159909114661292e+39,8.092881374200575,-0.3473222602360053,0.13980045581281092,0.49306784648096047,2.5075341858720415,2.5075341858720415,0.5125037255267924,-1.136542730597185,1.7183137155108619,-1.3243691955132988,1.530487250594748
GS3,37720,53.13910594400036,-27.73030499000032,0.1057641937295049,0.006804441036278938,13.412300376764,2.4807509608574,14175.896963612253,37720,0.299123,0.299123,,0.64,1.9395,0.0112282,0,0.700944,0.00229007,0.8,14.9433,38.6441,-16.926294,-18.034894,0,0.1031,0.1031,1,0.1084,8.63,0.22399,0.070276,0.15371,0.1,0.328448,0.0517522,0.154302,-0.849,-0.849,0.0,494.02663301924946,3.9164846176902006e+39,7.243964648562649e+38,7.696212983656835,-0.4271035748447005,0.08027302451989038,0.06838359435892438,0.05642980346852139,0.09704661730937636,0.10545176358419443,-2.0548224612606774,-1.5712890829474555,-2.2426489261767912,-1.7591155478635694
GS3,41882,53.17334823800001,-27.71496352199999,0.2372331423645062,0.006874293503334503,5.92866936393266,1.6055047467413999,15861.32888511297,41882,0.523059,0.523059,,0.798,0.7601,0.0096436,0,0.485526,0.00197534,0.3,2.4092,8.27127,-17.47764,-18.478981,0,0.2501,0.2501,1,0.2448,8.98,0.40662,0.11807,0.28855,0.25,0.589051,0.0783461,0.284671,-0.3389,-0.3389,0.0,1201.8961916247194,1.0246689545346044e+40,2.774839967214169e+39,7.376507986700897,-0.009416421867605607,0.1175287433508633,0.05772370711534315,0.2204306805274336,0.2720328989606354,0.13093903878053714,-1.2825892679679214,-1.0527421655728821,-1.4704157328840353,-1.240568630488996
GS3,42593,53.155797828,-27.71195152799999,0.2447388634159697,0.018347940816205083,2.10359105278168,0.7670305819894769,15957.552228992732,42593,0.130418,0.2694,,0.562,1.6648,0.0441981,0,0.222708,0.00252128,0.1,0.696288,2.56394,-16.03573,-17.124577,0,0.25358,-1.0,2,0.2446,8.42,0.07765,0.0056813,0.071969,0.24,0.130418,0.0230464,-0.148928,-1.108,-1.108,0.0,1245.1662663566408,3.902190227401773e+39,1.422852239839921e+39,7.709023943585502,-0.4286915630560131,0.15824904376886123,0.07669292275606128,0.4559709010604607,0.4559709010604607,0.17585381501299918,-1.2518684932703508,-0.367206029153877,-1.4396949581864646,-0.5550324940699909
GS3,35433,53.14152524699999,-27.745829142,0.2563797685002024,0.01788699191841885,1.92699766753314,1.31215388335459,16106.788632172596,35433,0.203143,0.2201,,0.19,1.1426,0.035694,0,0.864042,0.0152462,0.1,1.13647,3.17359,-17.078068,-17.878022,0,0.26934,-1.0,2,0.2728,8.45,-99.0,-99.0,0.12115,0.29,0.203143,0.0159628,-0.241874,-1.9494,-1.9494,0.0,1312.8506424054522,3.973784030960559e+39,2.7058756923729803e+39,7.320042788844346,-0.42079573982077534,0.2955243771025988,0.03410334198077217,0.2714023983888133,0.2714023983888133,0.29748562216708313,-1.2058925440567023,-0.5136944058471137,-1.3937190089728162,-0.7015208707632276
