,FIELD,ID,RA_x,DEC_x,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,synth_lmass,fast_lmass,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_z_best,td_z_spec,td_z_peak_phot,td_lmass,DL,PAB_L,PAB_L_ERR
24,GS4,25632,53.15463536626137,-27.79323794081716,0.2326235439075441,0.011919234994931754,3.86022492274025,0.634512232101011,15802.233832894715,25632,0.36604,0.6017,0.5461,0.00485209,0,0.53337,0.00120213,0.0,,,1.65069,3.35491,-16.815055,-17.418765,0.23924,-1.0,0.2445,8.26,1175.467589047882,6.38155265963069e+39,1.0489474845051348e+39
32,GN4,19075,189.25353921,62.23558828300001,0.01070679583003924,0.0032174879507129504,3.5420639257717896,0.49864223723789697,12957.261122541104,19075,0.0665491,517.0,0.552,0.349039,0,0.074352,0.0121506,0.5,10.0738,9.62,0.03303,1.58521,-16.888754,-19.40791,0.5802,-1.0,0.5802,10.06,46.69212497911063,9.239236897076436e+36,1.3006749322643217e+36
10,GS3,40457,53.160331574,-27.720494582,0.1381881134665205,0.033167890294336734,3.1846732885146403,2.03293227010865,14591.571614640794,40457,0.00420831,0.8221,2.1934,0.0391882,1,0.907416,0.00953103,0.1,,,1.82167,6.98314,-18.628469,-19.709207,0.14168,-1.0,0.1418,8.4,659.4441573605417,1.6569651108985935e+39,1.0577216371105388e+39
11,GS3,36009,53.13949235500003,-27.74177221500002,0.1457451428687669,0.027368189435656016,3.1813478898402,2.12191872538144,14688.45273157759,36009,0.0859346,0.3369,1.3619,0.0330928,0,0.858078,0.0123441,0.1,,,2.29224,5.77815,-15.810263,-16.87258,0.1497,-1.0,0.1495,8.18,698.890158097513,1.859180012127577e+39,1.2400495067474556e+39
24,GN5,33249,189.2077221527124,62.31109623777222,0.2343339459532293,0.12793665794263642,3.1227880988894903,0.794631487723119,15824.161187120399,33249,0.0776152,0.08495,1.3753,0.742879,0,0.152076,0.0278929,0.5,7.844,7.84,0.70336,1.50404,-15.897715,-16.527162,0.22691,-1.0,0.2218,7.67,1185.2610119413293,5.248835264723458e+39,1.3356300982138374e+39
8,GN2,21706,189.2205924602891,62.24836701071322,0.03437146292386142,0.22926694913539922,2.76414679870501,1.09065545164802,13260.642154683903,21706,8.92422,25.22,1.2507,0.252995,0,0.283956,0.0220899,0.2,9.3487,9.36,1.32122,3.07253,-20.102689,-20.535464,0.06983,-1.0,0.0775,7.28,152.61267295783193,7.702553631886639e+37,3.0392134434264383e+37
9,GN2,22158,189.1708834,62.25026430499999,0.2630822148951646,0.011918701366320235,2.61896365165595,0.45893083507488097,16192.71399495601,22158,0.079052,7581.0,3.408,0.0525719,0,0.020166,0.000116051,2.2,9.9284,9.72,0.14195,3.51225,-17.546617,-19.964668,0.4525,0.0001,0.4525,6.98,1352.1351036680176,5.728779095910296e+39,1.003875472950251e+39
10,GN2,21693,189.2325241499276,62.24847399031422,0.2819808192873829,0.02346218227192973,2.51928899395695,1.4327140984393398,16434.99410326425,21693,0.0238438,0.02827,1.7696,0.995716,0,0.853224,0.297149,0.2,8.4976,8.33,0.37442,2.41811,-14.612048,-16.37718,0.30604,-1.0,0.2798,8.75,1464.1215209205022,6.461370836774571e+39,3.6745673542405483e+39
21,GN3,36624,189.25885561,62.34028339699998,0.01746161085483382,0.010884128752759504,2.4875693007758,0.506524336428172,13043.85785115897,36624,122.938,563.5,0.7558,0.0875366,0,0.060102,0.00204274,0.3,10.0944,10.11,0.01451,0.19962,-16.400142,-18.850735,0.772,-1.0,0.772,9.74,76.54637254478286,1.7438810049533772e+37,3.550928886958936e+36
25,GS4,20623,53.15782802535228,-27.81475178251794,0.2837762265503452,0.02736311781752491,2.16950576858886,1.4342458447818198,16458.011224375427,20623,53.599,103.6,3.2794,0.160204,0,0.507954,0.0189798,0.9,,,0.678306,1.38291,-22.068922,-22.305793,0.2443,-1.0,0.2443,7.71,1474.852958943481,5.64612756488417e+39,3.73261740820835e+39
