FIELD,ID,RA,DEC,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB
GS3,47120,53.158769858,-27.68711149499999,0.2008176883325821,0.013460667290152127,17.3269683292007,1.4913671564961601,15394.482764423703
GN3,36135,189.25207889,62.33515499199999,0.3058224584858218,0.05309609074288102,17.1509150071996,3.8470233048508398,16740.643917788235
GN4,21693,189.23252415,62.24847398999999,0.2867762710963165,0.10061006379685893,17.127375432824202,4.786362888683501,16496.471795454778
GN5,33397,189.1754698206713,62.31434661897602,0.246513474597317,0.011038860195938863,16.7590762780839,3.66749489916967,15980.302744337603
GN5,27888,189.150618550126,62.28242109736159,0.228266405991527,0.01098384445349905,16.5497998742918,2.0693314248472,15746.375324811375
GS4,27660,53.13061372999999,-27.785135947,0.1081796075625966,0.12481318757414041,15.7225082396669,5.21668275511245,14206.86256895249
GS5,41159,53.12298432095703,-27.71810620179357,0.1939086891069049,0.024649314038419967,15.372873514801,4.90861036851725,15305.90939435052
ERSPRIME,41397,53.06482797568241,-27.7166265510024,0.249730348666801,0.03296334784413842,15.1435477571017,1.56590019224807,16021.543069908388
GN2,14883,189.27500949,62.21602881,0.3017408732236765,0.0294074500911712,14.719824060523202,2.61532237209144,16688.317994727535
GN2,15610,189.21272212,62.222423294,0.1992416776871956,0.007587635137700887,14.520550395692299,2.31713944538328,15374.27830794985
GN2,13473,189.19602399,62.21025836699999,0.3203801910735886,0.0037753312951042607,13.8719678441403,22.1827220634138,16927.274049563406
GN5,30595,189.22184871,62.293999462,0.2907212365542207,0.4626340344888982,13.851334828350598,4.874340242840581,16547.04625262511
GS3,37720,53.13910594400036,-27.73030499000032,0.1057641937295049,0.006804441036278938,13.412300376764,2.4807509608574,14175.896963612253
GS3,36971,53.170712538,-27.738578971,0.2757395186422812,0.009221923186823038,13.1465323554454,0.9294052886560291,16354.980628994046
GN1,35952,189.30672151,62.334217007,0.2415309308306832,0.05389802172252921,12.6261690595057,3.8801186704046295,15916.42653324936
GS4,25995,53.20545033099982,-27.79062415200023,0.01317168263952588,0.16267203689738052,11.386759941166801,3.24299683921707,12988.860971438722
GS4,26915,53.16515895500091,-27.7858663779991,0.008409204224163892,0.004078665934038801,10.9418745861401,0.53786606008967,12927.80599815378
GS4,19745,53.19992213299768,-27.81546262299473,0.2325188993696834,0.0032757554244218987,10.9347485447755,0.959631084312804,15800.89228991934
GS5,40859,53.11050530892702,-27.71771286091154,0.2130687507639269,0.010203939289632723,10.896418823315,1.8740975922057201,15551.541384793542
GN4,22933,189.3339954701966,62.25515386601801,0.2195768565520065,1.7418834289126235,9.76722304326183,0.760524888878797,15634.975300996723
GS4,29861,53.16195966200001,-27.773905269,0.2720688083300505,0.00787147659266015,9.67728743517367,1.34691387875065,16307.922122791246
