FIELD,ID,td_lmass,PAB_SFR_EX2,PAB_SFR_EX2_LIMIT,PAB_SFR_EX2_LIMIT_RAND,ir_UV_beta,PAB_SFR_EXCESS_LIMIT_RAND,MASS_BINS,ROLL_STD,ROLL_MAD,EXCESS_DIS_FIT,ROLL_MAD_FIT,ROLL_MAD_FIT_R,ROLL_MAD_FIT_TOP,ROLL_MAD_FIT_BOT,EXCESS_DIS_FIT_BETA_NEG
,34903,7.43,,0.12033375152418202,0.2722581610171737,-1.654,0.2722581610171737,7,1.3286509792433991,0.860291430695752,0.18868972666043948,1.0549709545637322,-0.971402520206998,0.5531626670139391,-1.5163751719592233,0.7538644134898158
,20016,7.44,,1.7470638913250744,1.4781885134151813,-1.5782,1.4781885134151813,7,1.436060140430517,0.8727739313785916,1.3978241114848178,1.0517669221373616,-0.971402520206998,0.7432474741985804,-1.702517379367418,1.9578234659996
,37608,7.44,,0.7442653672208659,0.007324929824566562,-1.8672,0.007324929824566562,7,1.4185213272347612,0.860291430695752,-0.07303947210579698,1.0338938801381665,-0.953529478207803,0.5551339669021624,-1.514403872071,0.48695988240898536
,20320,7.46,,-1.575370014292651,-2.19256145948924,-1.0728,-2.19256145948924,7,1.5591334358918838,0.8727739313785916,-2.2665177965668617,1.0453588572846197,-0.971402520206998,0.7471900739750266,-1.6985747795909718,-1.7168691066812674
,21260,7.46,,-0.1406773597031622,-0.4435002153292521,-1.3277,-0.4435002153292521,7,1.3413938110499606,0.860291430695752,-0.5174565524068738,1.0453588572846197,-0.971402520206998,0.5590765666786086,-1.5104612722945538,0.03219213747872052
,26646,7.48,,-0.34218962591441937,-1.2458927607434136,-1.3277,-1.2458927607434136,7,1.3850400601580646,0.8727739313785916,-1.313441032968294,1.0536334149336324,-0.986085142708752,0.37490565915863727,-1.3184051652216897,-0.7741430077118874
GS4,26646,7.48,-0.09927400245751727,,,-1.3277,-0.09927400245751727,7,1.261661494170097,0.860291430695752,-0.16682227468239763,1.0389507924318784,-0.971402520206998,0.35846462216827,-1.3019641282313223,0.37247575057400895
,33609,7.5,,2.3481078893987775,1.9104644256120995,-0.8288,1.9104644256120995,8,1.2739013643121557,0.860291430695752,1.8493242182399605,1.0265468884443407,-0.9654066810722017,0.3624072219447162,-1.2980215284548762,2.3782715788671798
,33496,7.51,,0.16338031205257586,0.18924537851732204,-1.9728,0.18924537851732204,8,1.2716555944593353,0.860291430695752,0.13130920357155373,0.9748527506812401,-0.9169165757354718,0.3643785218329395,-1.2960502285666529,0.6550812318841788
,12088,7.51,,0.7267927904219007,0.9802744508508965,-1.9119,0.9802744508508965,8,0.9499795357061811,0.860291430695752,0.9223382759051282,1.0004805281923659,-0.9425443532465976,0.3643785218329395,-1.2960502285666529,1.4461103042177532
